day,daily_grid_import_kwh,daily_grid_export_kwh,daily_energy_cost_rs,daily_degradation_cost_rs,daily_net_cost_rs,daily_battery_throughput_kwh,final_daily_soc_percent,final_daily_soh_percent,capacity_loss_percent
1,28.840150966566306,9.553872370875066,202.05959061990524,25.30263165678892,227.36222227669413,16.86842110452594,19.999999822445204,99.98113157889547,0.01886842110452594
2,31.687611466628496,9.416653004794181,225.25093271864543,21.02763172166155,246.27856444030695,14.018421147774367,19.99999967531652,99.9651131577477,0.03488684225230031
3,31.68497998543289,9.388460310342623,225.31445895243525,21.027631748621094,246.34209070105632,14.018421165747398,19.999999616089934,99.94909473658196,0.0509052634180477
4,31.840633151588783,8.986544702922064,227.7654311039441,21.027631666205117,248.79306277014922,14.01842111080341,19.999999835821452,99.93307631547114,0.06692368452885113
5,31.682853389782515,8.862377168877401,226.87569561162795,21.02763172387904,247.90332733550696,14.018421149252696,19.99999966871384,99.91705789432189,0.08294210567810383
6,31.67893720265075,8.981714187733541,226.48635505800544,21.027631749404186,247.5139868074096,14.018421166269462,19.999999617516966,99.90103947315563,0.09896052684437327
7,31.67251207460031,8.967492718944019,226.4776184399704,21.027631714292227,247.50525015426265,14.018421142861488,19.999999748457967,99.88502105201277,0.11497894798723476
8,31.660286618490126,7.896569436371375,229.5925846388069,21.027631622543677,250.62021626135055,14.018421081695784,19.999999879485234,99.86900263093106,0.13099736906893047
9,31.66226210896708,8.833021858475806,226.7990312963092,21.02763164746227,247.82666294377154,14.018421098308181,19.999999881500298,99.85298420983277,0.1470157901672387
10,31.65653969656599,8.907575218669253,226.5295919165202,21.027631638557587,247.55722355507777,14.018421092371726,19.999999899248106,99.8369657887404,0.1630342112596105
11,31.632455094770947,9.577393826097293,224.32745927987568,21.027631609558533,245.35509088943422,14.018421073039026,19.999999939290618,99.82094736766734,0.1790526323326495
12,31.638960090622277,9.414294445697077,224.86879738788696,21.027631639237047,245.89642902712401,14.018421092824699,19.99999989548524,99.80492894657452,0.19507105342547423
13,31.621072074153034,9.554333586597844,224.30557583343077,21.027631613389303,245.33320744682007,14.018421075592869,19.99999993566885,99.78891052549893,0.2110894745010671
14,31.6225716312155,9.939078765782476,223.16333675237658,21.027631599556194,244.1909683519328,14.018421066370795,19.99999995683369,99.77289210443257,0.22710789556743793
15,31.587992956624255,9.912529327292443,222.96635567111673,21.02763159403036,243.9939872651471,14.018421062686901,19.999999967372815,99.75687368336988,0.2431263166301248
16,31.60599014827489,9.365452811692288,224.75156275112224,21.027631598864772,245.779194349987,14.018421065909848,19.99999996387885,99.74085526230397,0.2591447376960347
17,31.622152360401888,7.70001193246596,229.87718308581725,21.02763167767882,250.90481476349606,14.018421118452547,19.999999815164486,99.72483684118552,0.2751631588144873
18,31.588648592631714,9.956057909958512,222.84101501117814,21.02763160647047,243.86864661764866,14.018421070980317,19.999999920461217,99.70881842011453,0.2911815798854676
19,31.577239058713864,11.037701848777033,219.50480692337982,21.027631593521587,240.53243851690138,14.018421062347727,19.999999958463665,99.69279999905218,0.3072000009478153
20,31.83707284717751,7.229976379540819,233.00665363879762,21.027631860150073,254.03428549894767,14.01842124010005,19.999999362011465,99.67678157781208,0.3232184221879154
21,31.557625066538034,10.802731482695588,220.05280608421754,21.0276316670193,241.08043775123684,14.0184211113462,19.999999798653715,99.66076315670074,0.33923684329926157
22,31.55384706167707,10.513409789223775,220.89054712574523,21.027631610857103,241.91817873660236,14.018421073904737,19.99999991787537,99.64474473562683,0.35525526437316635
23,31.545761425575158,10.331345223599394,221.37205573380305,21.027631594016157,242.39968732781927,14.01842106267744,19.999999959696755,99.62872631456415,0.3712736854358438
24,31.53742948737613,10.857648569259583,219.7264901912303,21.027631588185656,240.75412177941593,14.018421058790437,19.99999997605386,99.61270789350537,0.3872921064946342
25,31.521378486093795,11.105325383699283,218.85505173765256,21.02763158577194,239.8826833234245,14.018421057181296,19.999999982707855,99.59668947244819,0.4033105275518154
26,31.511588620834623,11.041673411586768,218.96768873191667,21.02763158456784,239.99532031648454,14.018421056378566,19.999999985626864,99.58067105139182,0.41932894860819403
27,31.505144139303255,11.062503960953002,218.85364123156702,21.027631584211182,239.8812728157782,14.018421056140786,19.99999998677775,99.56465263033567,0.43534736966433474
28,31.522189419510497,10.120529171221802,221.8159278424186,21.027631584502302,242.84355942692088,14.018421056334866,19.99999998640564,99.54863420927933,0.4513657907206698
29,31.56523387773212,7.287847318308913,230.65832906693026,21.027631675895243,251.68596074282547,14.018421117263497,19.999999723149255,99.53261578816208,0.4673842118379333
30,31.487572712611666,10.993397825401146,218.92038822468993,21.02763161573509,239.94801984042502,14.018421077156724,19.99999989843655,99.51659736708491,0.4834026329150901
31,31.459007260235865,11.801797866318957,216.26666448293003,21.027631836687448,237.2942963196175,14.018421224458297,19.999999346661347,99.50057894586045,0.49942105413954846
32,31.461607308621904,10.787365632371083,219.33076157186198,21.027631656056613,240.35839322791858,14.018421104037746,19.9999998070539,99.48456052475642,0.515439475243586
33,31.451803136875114,11.105727212550708,218.2972434573488,21.02763160516742,239.32487506251624,14.018421070111614,19.999999924007717,99.4685421036863,0.5314578963136976
34,31.486399096837467,8.791328354578637,225.51720771096382,21.02763159072746,246.5448393016913,14.018421060484975,19.99999996315113,99.45252368262581,0.5474763173741826
35,31.577438038984567,3.8579697653792486,241.0455950157388,21.02763161794111,262.0732266336799,14.018421078627407,19.99999990237829,99.4365052615472,0.56349473845281
36,31.449979899876343,9.337956677230002,223.58596916732068,21.027631607172303,244.61360077449305,14.018421071448206,19.999999945294103,99.42048684047575,0.5795131595242581
37,31.42428606479482,9.847093885871857,221.853006860743,21.02763158785705,242.88063844860005,14.018421058571366,19.99999997121405,99.40446841941717,0.5955315805828294
38,31.38952352834903,11.086678081035942,217.8561539836844,21.027631778821068,238.88378576250545,14.018421185880715,19.99999943238919,99.3884499982313,0.61155000176871
39,31.373251894243626,12.152147013509094,214.52957411342172,21.02763162665196,235.55720574007367,14.018421084434644,19.999999845732983,99.37243157714686,0.6275684228531446
40,31.3588633029156,11.286333907213887,217.01190470168316,21.027631758363807,238.03953646004695,14.01842117224254,19.999999404984482,99.35641315597461,0.6435868440253874
41,30.462507140873623,12.060643441438167,207.51812680267452,21.02763162729724,228.54575842997173,14.018421084864828,19.999999844590775,99.34039473488974,0.6596052651102521
42,30.48474451585836,11.689014435882026,208.8109128192208,21.027631767163953,229.83854458638473,14.018421178109303,19.99999941812061,99.32437631371164,0.6756236862883614
43,30.495732715456388,11.306725429983892,210.0456854336994,21.02763163647924,231.0733170701787,14.018421090986163,19.999999832445507,99.30835789262066,0.6916421073793476
44,30.694502835363714,7.579787774061459,222.81665936072534,21.027631954967113,243.84429131569246,14.018421303311406,19.99999922474468,99.29233947131733,0.7076605286826589
45,30.55707439907446,11.158247429776512,210.98185290326612,21.02763164951222,232.00948455277836,14.018421099674814,19.999999806315767,99.27632105021766,0.7236789497823337
46,30.48173292471757,11.573782032526456,209.1325173001612,21.02763175530197,230.1601490554632,14.01842117020131,19.99999941761809,99.26030262904747,0.7396973709525348
47,30.455533839930528,12.128690559393398,207.25819904126405,21.02763162086125,228.2858306621253,14.018421080574168,19.99999985375051,99.2442842079669,0.755715792033109
48,30.473191653587055,11.726443175823935,208.60620370122464,21.027631743733593,229.6338354449582,14.018421162489062,19.999999454882055,99.2282657868044,0.771734213195598
49,30.52075017148576,11.718635676570793,209.0100943421737,21.02763162374703,230.03772596592074,14.018421082498023,19.99999985003842,99.21224736572191,0.7877526342780959
50,30.541570328531098,10.919689086943944,211.57349536741694,21.027631766947714,232.60112713436467,14.018421177965141,19.999999400119798,99.19622894454395,0.8037710554560608
51,30.52976839274242,11.523597643401228,209.6673542117357,21.027631627560442,230.69498583929612,14.018421085040291,19.99999984131603,99.1802105234589,0.8197894765411013
52,30.55491540446392,11.382895004050052,210.29063822356122,21.02763174736937,231.31826997093054,14.018421164912908,19.99999944085382,99.164192102294,0.8358078977060143
53,30.56159438133484,11.22306393434451,210.82356324764518,21.02763162527038,231.85119487291558,14.01842108351359,19.999999844829503,99.14817368121047,0.8518263187895277
54,31.00212120882218,6.499959344301123,228.51709163767407,21.027631619567355,249.54472325724146,14.018421079711567,19.999999924531362,99.13215526013076,0.8678447398692397
55,30.549926852544367,8.465816461901147,219.00196543465148,21.027631695208015,240.02959712985947,14.018421130138684,19.999999429890426,99.11613683900062,0.8838631609993781
56,30.490016825668896,12.246593925770599,207.18035282803942,21.02763170136054,228.2079845293999,14.018421134240361,19.999999337502736,99.10011841786638,0.899881582133618
57,30.605150933523667,8.02755845294859,220.75853210934355,21.027631772786076,241.7861638821296,14.018421181857384,19.99999965225573,99.08409999668453,0.9159000033154755
58,30.533434290909064,10.889372021297344,211.5993582633805,21.02763169758809,232.62698996096861,14.018421131725395,19.999999386499596,99.0680815755528,0.9319184244472006
59,30.435027848987744,12.99563238809558,204.49332562761526,21.027631706817196,225.52095733443244,14.018421137878132,19.999999336706058,99.05206315441492,0.947936845585079
60,31.149290351228814,7.781640030918075,225.8494027170763,21.027631903480042,246.87703462055634,14.018421268986696,19.999999189454712,99.03604473314593,0.9639552668540654
61,30.45483410469341,12.792392312661832,205.2614958995618,21.02763163140841,226.28912753097023,14.018421087605608,19.999999857976277,99.02002631205833,0.9799736879416712
62,30.460601409598528,12.516612901764546,206.13497257149456,21.027631676777652,227.16260424827223,14.01842111785177,19.999999565502257,99.00400789094049,0.995992109059523
63,30.459798171929958,12.626059647828034,205.8002064319556,21.027631702476967,226.82783813443254,14.018421134984642,19.9999994114945,98.9879894698055,1.0120105301945075
64,30.44649800861331,12.826339239282582,205.09296635105875,21.027631619014954,226.12059797007373,14.018421079343305,19.999999864023877,98.97197104872615,1.0280289512738507
65,30.43057822341291,12.892215291621783,204.7679799124379,21.02763169300405,225.795611605442,14.018421128669365,19.99999955806526,98.95595262759748,1.0440473724025197
66,30.40058858254251,13.308468831946573,203.27930216450036,21.02763172981699,224.30693389431735,14.018421153211326,19.999999402077997,98.93993420644426,1.060065793555731
67,30.401649767551085,13.205962680083886,203.595310100157,21.02763162196506,224.6229417221221,14.018421081310041,19.99999986563465,98.92391578536296,1.076084214637041
68,30.44535592825261,12.615233966549432,205.71714552637258,21.02763167601131,226.7447772023839,14.01842111734087,19.999999575409202,98.90789736424563,1.0921026357543817
69,30.47685512405385,12.181450968296419,207.27048808754154,21.027631708374425,228.29811979591597,14.018421138916288,19.999999404328015,98.8918789431067,1.1081210568932978
70,30.579663195831948,12.141338079717148,208.21329132750412,21.027631622375438,229.24092294987958,14.018421081583625,19.999999851159263,98.87586052202512,1.1241394779748817
