controller_type,hour,pv_power_kw,home_load_kw,ev_charge_kw,total_load_kw,battery_charge_kw,battery_discharge_kw,battery_soc,battery_soh,battery_capacity_loss_percent,battery_throughput_kwh,grid_import_kw,grid_export_kw,remaining_ev_energy_kwh,import_cost_rs,export_revenue_rs,net_cost_rs
naive,0,0.0,0.6,7.2,7.8,0.0,2.8499999999999996,0.2,0.9999706666666667,0.0029333333333333334,2.8499999999999996,4.95,0.0,10.8,39.6,0.0,39.6
naive,1,0.0,0.6,7.2,7.8,0.0,0.0,0.2,0.9999698333333333,0.0030166666666666666,2.8499999999999996,7.8,0.0,3.6000000000000005,62.4,0.0,62.4
naive,2,0.0,0.6,3.6000000000000005,4.2,0.0,0.0,0.2,0.999969,0.0031000000000000003,2.8499999999999996,4.2,0.0,0.0,33.6,0.0,33.6
naive,3,0.0,0.6,0.0,0.6,0.0,0.0,0.2,0.9999681666666667,0.003183333333333333,2.8499999999999996,0.6,0.0,0.0,4.8,0.0,4.8
naive,4,0.0,0.6,0.0,0.6,0.0,0.0,0.2,0.9999673333333333,0.0032666666666666664,2.8499999999999996,0.6,0.0,0.0,4.8,0.0,4.8
naive,5,0.0,0.6,0.0,0.6,0.0,0.0,0.2,0.9999665,0.0033499999999999992,2.8499999999999996,0.6,0.0,0.0,4.8,0.0,4.8
naive,6,0.0,1.5,0.0,1.5,0.0,0.0,0.2,0.9999656666666666,0.0034333333333333325,2.8499999999999996,1.5,0.0,0.0,12.0,0.0,12.0
naive,7,1.0999809416857131,1.5,0.0,1.5,0.0,0.0,0.2,0.9999648333333333,0.0035166666666666658,2.8499999999999996,0.40001905831428686,0.0,0.0,3.200152466514295,0.0,3.200152466514295
naive,8,2.1249999999999996,1.5,0.0,1.5,0.6249999999999996,0.0,0.25937499999999997,0.99995775,0.004224999999999999,3.474999999999999,0.0,0.0,0.0,0.0,0.0,0.0
naive,9,3.005203820042827,1.0,0.0,1.0,2.005203820042827,0.0,0.44986936290406854,0.9999368646284662,0.006313537153376158,5.480203820042826,0.0,0.0,0.0,0.0,0.0,0.0
naive,10,3.6806079660838638,1.0,0.0,1.0,2.6806079660838638,0.0,0.7045271196820355,0.9999092252154721,0.009077478452793357,8.16081178612669,0.0,0.0,0.0,0.0,0.0,0.0
naive,11,4.10518476172854,1.0,0.0,1.0,2.0576092665048895,0.0,0.9,0.9998878157894737,0.011218421052631579,10.21842105263158,0.0,1.0475754952236507,0.0,0.0,3.142726485670952,-3.142726485670952
naive,12,4.25,1.0,0.0,1.0,0.0,0.0,0.9,0.9998869824561404,0.011301754385964912,10.21842105263158,0.0,3.25,0.0,0.0,9.75,-9.75
naive,13,4.10518476172854,1.0,0.0,1.0,0.0,0.0,0.9,0.999886149122807,0.011385087719298245,10.21842105263158,0.0,3.10518476172854,0.0,0.0,9.31555428518562,-9.31555428518562
naive,14,3.6806079660838646,1.0,0.0,1.0,0.0,0.0,0.9,0.9998853157894737,0.011468421052631579,10.21842105263158,0.0,2.6806079660838646,0.0,0.0,8.041823898251593,-8.041823898251593
naive,15,3.005203820042827,1.0,0.0,1.0,0.0,0.0,0.9,0.9998844824561404,0.011551754385964912,10.21842105263158,0.0,2.005203820042827,0.0,0.0,6.015611460128481,-6.015611460128481
naive,16,2.1249999999999996,1.0,0.0,1.0,0.0,0.0,0.9,0.999883649122807,0.011635087719298245,10.21842105263158,0.0,1.1249999999999996,0.0,0.0,3.3749999999999987,-3.3749999999999987
naive,17,1.0999809416857143,2.4,0.0,2.4,0.0,1.3000190583142857,0.7631558885984963,0.9998698155988905,0.013018440110945863,11.518440110945866,0.0,0.0,0.0,0.0,0.0,0.0
naive,18,5.204748896376252e-16,2.4,0.0,2.4,0.0,2.3999999999999995,0.5105243096511278,0.9998449822655572,0.015501773444279195,13.918440110945866,0.0,0.0,0.0,0.0,0.0,0.0
naive,19,0.0,2.4,0.0,2.4,0.0,2.4,0.2578927307037594,0.9998201489322239,0.017985106777612527,16.318440110945865,0.0,0.0,0.0,0.0,0.0,0.0
naive,20,0.0,2.4,0.0,2.4,0.0,0.5499809416857142,0.2,0.9998138157894737,0.018618421052631576,16.86842105263158,1.8500190583142857,0.0,0.0,14.800152466514286,0.0,14.800152466514286
naive,21,0.0,2.4,0.0,2.4,0.0,0.0,0.2,0.9998129824561404,0.01870175438596491,16.86842105263158,2.4,0.0,0.0,19.2,0.0,19.2
naive,22,0.0,0.9,0.0,0.9,0.0,0.0,0.2,0.999812149122807,0.018785087719298245,16.86842105263158,0.9,0.0,0.0,7.2,0.0,7.2
naive,23,0.0,0.9,0.0,0.9,0.0,0.0,0.2,0.9998113157894737,0.01886842105263158,16.86842105263158,0.9,0.0,0.0,7.2,0.0,7.2
