day,hour_of_day,local_hour,timestamp_utc,timestamp,ghi_wm2,dni_wm2,dhi_wm2,temp_air_c,pv_power_kw,home_load_kw,ev_charge_kw,total_load_kw,battery_charge_kw,battery_discharge_kw,battery_soc,battery_soh,battery_capacity_loss_percent,battery_throughput_kwh,grid_import_kw,grid_export_kw,import_cost_rs,export_revenue_rs,energy_net_cost_rs,degradation_cost_rs,net_cost_rs
1,0,5,1990-01-01 00:00:00+00:00,1990-01-01 05:30:00+05:30,0.0,0.0,0.0,16.44,0.0,0.6,7.2,7.8,0.0,0.7157857686581053,0.42465412958347637,0.9999920088089801,0.0007991191019914386,0.7157857686581053,7.084214230242013,0.0,56.673713841936106,0.0,56.673713841936106,1.0736786529871583,57.74739249492326
1,1,6,1990-01-01 01:00:00+00:00,1990-01-01 06:30:00+05:30,0.0,0.0,0.0,16.7,0.0,0.6,7.2,7.8,0.0,0.8822349028877386,0.33178729766936305,0.9999823531266179,0.0017646873382125105,1.5980206715458438,6.917765096015505,0.0,55.34212076812404,0.0,55.34212076812404,1.3233523543316084,56.66547312245565
1,2,7,1990-01-01 02:00:00+00:00,1990-01-01 07:30:00+05:30,35.8,0.0,35.8,16.95,0.14761430504479583,0.6,3.6000000000000005,4.2,0.0,1.2519793408155888,0.19999999860492615,0.9999689999998764,0.003100000012361433,2.8500000123614324,2.8004063530569763,0.0,22.40325082445581,0.0,22.40325082445581,1.8779690112233836,24.281219835679195
1,3,8,1990-01-01 03:00:00+00:00,1990-01-01 08:30:00+05:30,292.9,959.53,74.05,17.2,2.0066865620001346,0.6,0.0,0.6,0.9108323447392772,0.0,0.2865290713823341,0.9999590583430956,0.004094165690434044,3.7608323571007096,0.0,0.4958542162411672,0.0,1.4875626487235016,-1.4875626487235016,1.366248517108916,-0.1213141316145856
1,4,9,1990-01-01 04:00:00+00:00,1990-01-01 09:30:00+05:30,485.85,954.97,93.45,17.46,2.889581578643302,0.6,0.0,0.6,1.1176174985792717,0.0,0.39270273377706194,0.9999470488347766,0.0052951165223466485,4.878449855679982,0.0,1.171964079019417,0.0,3.5158922370582513,-3.5158922370582513,1.676426247868908,-1.8394659891893432
1,5,10,1990-01-01 05:00:00+00:00,1990-01-01 10:30:00+05:30,633.3,951.83,104.75,17.71,3.5673106515752067,0.6,0.0,0.6,1.0580561664468464,0.0,0.49321806961964715,0.9999356349397788,0.006436506022126828,5.936506022126828,0.0,1.909254484088052,0.0,5.727763452264156,-5.727763452264156,1.58708424967027,-4.140679202593886
1,6,11,1990-01-01 06:00:00+00:00,1990-01-01 11:30:00+05:30,716.95,930.72,110.65,17.97,3.938543644965459,1.5,0.0,1.5,0.8860711150180217,0.0,0.577394825577924,0.9999259408952952,0.007405910470478183,6.82257713714485,0.0,1.552472528891952,0.0,4.657417586675856,-4.657417586675856,1.3291066725270329,-3.3283109141488234
1,7,12,1990-01-01 07:00:00+00:00,1990-01-01 12:30:00+05:30,731.1,894.56,111.4,18.22,3.9784891106834666,1.5,0.0,1.5,0.897483005355865,0.0,0.6626557111184452,0.9999161327319084,0.008386726809167383,7.720060142500715,0.0,1.5810061042751522,0.0,4.743018312825456,-4.743018312825456,1.3462245080337978,-3.396793804791659
1,8,13,1990-01-01 08:00:00+00:00,1990-01-01 13:30:00+05:30,673.4,836.82,107.35,25.55,3.6712544050474407,1.5,0.0,1.5,0.8910171786515168,0.0,0.7473023431223376,0.9999063892267884,0.009361077321152232,8.611077321152232,0.0,1.2802372253446666,0.0,3.8407116760339997,-3.8407116760339997,1.3365257679772755,-2.504185908056724
1,9,14,1990-01-01 09:00:00+00:00,1990-01-01 14:30:00+05:30,549.6,748.03,98.1,26.2,3.0371349543978026,1.0,0.0,1.0,0.9682810990437716,0.0,0.8392890475634933,0.9998958730824647,0.010412691753529338,9.579358420196003,0.0,1.0688538543100268,0.0,3.20656156293008,-3.20656156293008,1.4524216485656578,-1.7541399143644223
